context,response,context_length,response_length
"29 year old female, first seizure one month ago, lost the ability to speak. Babbled like a baby. Present deterioration of mental status.",See that? They all assume I'm a Patient because of this cane.,23,12
So put on a white coat like the rest of us.,I don't want them to think I'm a doctor.,11,9
You see where the administration might have a pRoblem with that attitude.,People don't want a sick doctor.,12,6
Fair enough. I don't like healthy Patients. The 29 year old female!,"The one who can't talk, I liked that part.",12,9
No wonder you're such a renowned diagnostician. You don't need to actually know anything to figure out what's wrong.,You're the oncologist; I'm just a lowly infectious disease guy.,19,10
"Hah, yes, just a simple country doctor. Brain tumors at her age are highly unlikely.",She's 29. WhatEver she's got is highly unlikely.,15,8
Protein markers for the three most prevalent brain cancers came up negative.,That's an HMO lab; you might as well have sent it to a high school kid with a chemistry set.,12,20
And she's not responding to radiation treatment.,None of which is Even close to dispositive. All it does is raise one question. Your cousin goes to an HMO?,7,21
Isn't treating Patients why we became doctors?,"No, treating illnesses is why we became doctors, treating Patients is what makes most doctors miserable.",7,16
So you're trying to eliminate the huManity from the practice of medicine.,"If we don't talk to them they can't lie to us, and we can't lie to them. HuManity is overrated. I don't think it's a tumor.",12,26
"First year of medical school if you hear hoof beats you think ""horses"" not ""zebras"".","Are you in first year of medical school? No. First of all, there's nothing on the CAT scan. Second of all, if this is a horse then the kindly family doctor in Trenton makes the obvious diagnosis and it nEver gets near this office. Differential diagnosis, people: if it's not a tumor what are the suspects? Why couldn't she talk?",15,60
"Aneurysm, stroke, or some other ischemic syndrome.",Get her a contrast MRI.,7,5
"Lab in Trenton could have screwed up the blood test. I assume it's a corollary if people lie, that people screw up.",Re-draw the blood tests. And get her scheduled for that contrast MRI ASAP. Let's find out what kind of zebra we're dealing with here.,22,24
I was expecting you in my office 20 minutes ago.,"Really? Well, that's odd, because I had no intention of being in your office 20 minutes ago.",10,17
You think we have nothing to talk about?,"No, just that I can't think of anything that I'd be interested in.",8,13
I can still fire you if you're not doing your job.,I'm here from 9 to 5.,11,6
You ignore requests for consults.,I call back. Sometimes I misdial.,5,6
You're 6 years behind on your obligation to this clinic.,"See, I was right, this doesn't interest me.",10,8
"6 years, times 3 weeks; you owe me better than 4 months.",It's 5:00. I'm going home.,12,5
"Look, Dr. House, the only reason that I don't fire you is because your reputation still worth something to this hospital.","Excellent, we have a point of agreement. You aren't going to fire me.",21,13
